source,target,distance,correlation
AEFES,TAVHL,0.9176079344036646,0.5789978393597199
TURSG,TTKOM,1.0173390272291363,0.4825106518382374
MAVI,VESBE,0.9084922544729782,0.5873209117813027
MAVI,BTCIM,1.1456054750782314,0.3437940477353899
FROTO,TOASO,0.7572298878277351,0.7133014484901978
FROTO,KCHOL,0.7767442511727536,0.6983341841350392
FROTO,SASA,1.0642911234419048,0.43364220228138406
OYAKC,BUCIM,0.9043968081948864,0.5910332066634509
EREGL,KRDMD,0.6033559381624377,0.8179808059420624
EREGL,SISE,0.810096483714774,0.6718718435364794
PGSUS,THYAO,0.7015036422176658,0.7539463199776746
SASA,HEKTS,0.8785823953834552,0.6140464872611351
CCOLA,TAVHL,0.9247578863044315,0.5724114258588802
CCOLA,ENKAI,0.9482144467676724,0.5504446814705385
BIMAS,MGROS,0.7792137645106825,0.6964129545985454
BIMAS,SAHOL,0.8523451152411902,0.6367539022622412
BIMAS,MPARK,1.022378157297894,0.47737145174008133
TKFEN,VESBE,0.8791296587017987,0.6135655215954294
TKFEN,GUBRF,0.9756639802895563,0.5240398987827701
PAPIL,OTKAR,0.9531946102531399,0.5457100174921823
PAPIL,LOGO,0.9621702339759951,0.5371142204252894
AGHOL,VESBE,0.9972263319547738,0.5027698214280136
AKSA,TTRAK,0.9310780038951249,0.566546875331335
DGATE,INDES,0.9948759089292398,0.5051109629161095
SISE,KCHOL,0.7491596059662102,0.7193799423942764
SISE,PETKM,0.8048490983997676,0.6761089644025406
SISE,ASELS,0.8449986349023971,0.6429886535065427
SISE,TUPRS,0.8503401518738489,0.6384608130555798
AGESA,ANHYT,0.9854825287230976,0.5144120927907645
ODAS,AKSEN,0.9518809353029547,0.5469613425033861
ODAS,ZOREN,0.9602304243342842,0.5389787660914003
YKBNK,AKBNK,0.5084902961932909,0.8707188093386297
PETKM,ALARK,0.9786230807903982,0.521148432872155
VESTL,VESBE,0.7024765529152367,0.7532633463021633
VESTL,ULKER,0.8661224987053737,0.6249159086181799
VESTL,ECILC,0.9619665576365305,0.5373101709944619
SAHOL,KCHOL,0.5624331025144427,0.8418345025979892
SAHOL,AKBNK,0.7344964848361933,0.7302574568816378
SAHOL,DOHOL,0.7779473334329926,0.6973989732022481
SAHOL,THYAO,0.7884756193592642,0.6891530988380123
SAHOL,EKGYO,0.8865866209565577,0.6069820817704166
VESBE,TTKOM,0.862720207037452,0.627856922184628
VESBE,TKNSA,0.938846627566073,0.5592835049539058
VESBE,OTKAR,0.9403590821476518,0.5578623983112129
VESBE,EGEEN,0.9419009593926148,0.556411291347636
VESBE,CEMTS,0.9460302324014851,0.5525133996911961
VESBE,BRISA,0.9502499400261339,0.5485125257401644
SKBNK,VAKBN,0.873754078405568,0.6182769052348183
SKBNK,ISGYO,1.0233700485856787,0.47635687182887276
INDES,ENJSA,0.9437145611112069,0.554701413573341
INDES,BERA,1.0240821730797558,0.47562785139012254
SOKM,MGROS,0.7771224956169309,0.6980403134030566
TAVHL,THYAO,0.6650199896068768,0.7788742067116348
TCELL,TTKOM,0.6559651722206238,0.7848548464167837
VAKBN,HALKB,0.3834159213554339,0.9264961156255819
KCHOL,ARCLK,0.832821130471,0.6532044823205028
TKNSA,BRYAT,0.9665951468841529,0.5328469110100014
TTKOM,ASELS,0.7676870775626058,0.7053282754716929
TTRAK,ENJSA,0.9020201486827121,0.593179825685209
TUPRS,AYGAZ,0.8112582615412591,0.670930016540527
KRDMD,CIMSA,0.9166930407594388,0.579836934511607
AYGAZ,ENJSA,0.9015472418914127,0.5936062853189934
BRSAN,BRYAT,0.8074312236898814,0.6740274095053304
BUCIM,CIMSA,0.7948155683691474,0.6841341061390147
DOAS,ENJSA,0.9826561142926921,0.5171934805215939
ANHYT,DOHOL,0.9291239147932675,0.5683643754796165
ASUZU,ECILC,1.0763205624037098,0.42076702347348094
ECILC,AKFGY,0.994767761268973,0.5052185505699578
AKSEN,ALARK,0.9760863937340398,0.5236276759836385
AKBNK,GARAN,0.552265569831795,0.8475013701891814
AKBNK,ISCTR,0.5541110000564722,0.8464804998082082
ISCTR,HALKB,0.7139419288488376,0.7451434611158008
