source,target,distance,correlation
AEFES,AGHOL,0.825232078194919,0.6594960085590476
TURSG,ANHYT,0.8486756962331725,0.6398747813115699
MAVI,PGSUS,0.8286889607013893,0.6566373032058257
MAVI,CCOLA,0.8567419823197038,0.6329965878654522
FROTO,TOASO,0.7073889714717682,0.749800421520057
FROTO,SISE,0.7351858191819125,0.7297509056369101
OYAKC,BUCIM,0.7719176127156965,0.70207159958965
EREGL,KRDMD,0.5694809396558153,0.8378457296843649
EREGL,SISE,0.7279047299099903,0.7350773520873319
PGSUS,THYAO,0.5373135764605405,0.8556470602755915
PGSUS,AKSA,0.8610715794795439,0.6292778675063018
PGSUS,ASUZU,0.8706567318766686,0.6209784276189194
SASA,HEKTS,0.6424363420144696,0.7936377732295337
BTCIM,TKNSA,1.0175614633722052,0.4822843341299081
BIMAS,SAHOL,0.8500687415277879,0.6386915673386815
TKFEN,ENKAI,0.7740266481543843,0.7004413739734445
TKFEN,VESTL,0.7808842438512915,0.6951098988523983
TKFEN,ANHYT,0.898268832813939,0.5965565519975419
PAPIL,ASELS,0.997313431165322,0.5026829600086262
AGHOL,MGROS,0.8161798268593751,0.6669252451139003
AGHOL,TAVHL,0.8305291727910779,0.655110646571484
DGATE,VESBE,0.9904762524926171,0.5094783966240908
SISE,SAHOL,0.680935502848341,0.7681634204803385
SISE,THYAO,0.6921499621453595,0.7604642149510887
SISE,ARCLK,0.6951392483484669,0.7583907127027643
SISE,PETKM,0.7186952771276196,0.741738549317227
SISE,TUPRS,0.7607748980796182,0.7106107772259733
SISE,ASELS,0.7680558668583043,0.7050450926922693
SISE,HEKTS,0.8498948666820646,0.6388393577937378
LOGO,DOHOL,0.9371431121852544,0.560881393641868
AGESA,ANHYT,0.9086777210624498,0.5871523996223763
MPARK,TAVHL,0.930611001373274,0.566981582061516
ODAS,ZOREN,0.8490794981187715,0.6395320029371876
ZOREN,AKSEN,0.8351284636041331,0.6512802246391001
YKBNK,AKBNK,0.4703007691831994,0.8894085932528455
YKBNK,ISCTR,0.5530450327548377,0.8470705958726003
YKBNK,VAKBN,0.7074564074457017,0.7497527157820106
PETKM,VESTL,0.7031893519449527,0.7527623676556188
PETKM,CEMTS,0.7767406065839328,0.698337015041812
PETKM,ALARK,0.7940363795188081,0.6847531140003317
PETKM,BERA,0.8139093115498709,0.6687758162862076
PETKM,OTKAR,0.8644648699235395,0.626350244334039
PETKM,EGEEN,0.8712437367640373,0.6204671755747184
PETKM,GUBRF,0.9653413523886116,0.5340580366842631
VESTL,VESBE,0.6694750257051674,0.7759015949785327
VESTL,ECILC,0.7772452659996584,0.6979448982405602
VESTL,TKNSA,0.7876063348602758,0.6898381306439816
VESTL,ENJSA,0.8030605235922539,0.6775468977238674
VESTL,DOAS,0.8585591593797434,0.6314380849225742
VESTL,INDES,0.8780731091664212,0.6144938074794071
VESTL,BRYAT,1.007014813483672,0.49296058271222254
SAHOL,KCHOL,0.5893725573577303,0.8263199943168045
SAHOL,AKBNK,0.7031690792968052,0.7527766229604417
SAHOL,DOHOL,0.7624821360017252,0.7093104961391233
SAHOL,TCELL,0.7741356183394031,0.700357022209135
SAHOL,ISGYO,0.8326210251303168,0.6533711142554701
SKBNK,ISGYO,0.8420188783408912,0.6455021042587737
SOKM,MGROS,0.824519617751776,0.6600836999712326
TAVHL,THYAO,0.6553065793420796,0.7852866435354914
TAVHL,AKSEN,0.7835585067100178,0.6930180332811835
TAVHL,ULKER,0.923509247066031,0.5735653352917662
TCELL,TTKOM,0.6789252496614963,0.7695302526860375
VAKBN,HALKB,0.5236592786078796,0.8628904799639375
TOASO,TTRAK,0.8627929704413486,0.6277941450784971
TUPRS,AYGAZ,0.7724888671631804,0.7016304750544731
KRDMD,EKGYO,0.7070523394905778,0.7500384946104504
KRDMD,BUCIM,0.7691382193915939,0.7042131997355642
KRDMD,BRISA,0.8941679608448844,0.6002318288992506
BRSAN,BRYAT,0.8315171731456906,0.6542895953818998
BUCIM,CIMSA,0.6804844469571204,0.768470458724731
ECILC,AKFGY,0.8319704008146745,0.6539126260841348
AKBNK,GARAN,0.4423441722826754,0.9021658166237774
