source,target,distance,correlation
AEFES,AGHOL,0.8595712213167521,0.6305686577420135
TURSG,ANHYT,0.9054821492471228,0.5900510386974056
MAVI,VESTL,0.836617561583577,0.6500355278249749
MAVI,CCOLA,0.8723159713799153,0.6195324230377574
FROTO,TOASO,0.718304267447054,0.7420194896836756
FROTO,SISE,0.7515767017967334,0.717566230658172
FROTO,TTRAK,0.8896967970150067,0.604219804690619
OYAKC,CIMSA,0.7955696324590925,0.6835344799544523
EREGL,KRDMD,0.6024978904919013,0.8184981459764045
EREGL,SISE,0.7296214949617643,0.73382623704488
EREGL,EKGYO,0.7428816825720382,0.7240634028494687
EREGL,BRISA,0.906656172495334,0.5889872924380555
PGSUS,THYAO,0.5690423577991093,0.8380953975152152
SASA,HEKTS,0.5723400279642081,0.8362134461949647
BTCIM,TKNSA,1.0508413156969791,0.44786626461212087
BIMAS,MGROS,0.8252315685967799,0.6594964290956491
TKFEN,ENKAI,0.7648059157202775,0.7075359556396339
TKFEN,VESTL,0.8039683840535772,0.67681741872114
TKFEN,ULKER,0.9205299554602329,0.5763123005501909
PAPIL,ASELS,1.0102560373661897,0.48969136948258196
AGHOL,SAHOL,0.8217702285933581,0.66234684569881
AGHOL,MGROS,0.8350802180499864,0.6513205147107936
AGHOL,MPARK,0.9366292109757486,0.5613628605734733
AKSA,SISE,0.8730906875833401,0.6188563256276252
DGATE,VESBE,0.9882045076826177,0.5117259254978777
SISE,SAHOL,0.6829462266932202,0.7667922257227463
SISE,ARCLK,0.7096746514290878,0.7481809445595013
SISE,PETKM,0.7218474420896807,0.7394681351742926
SISE,THYAO,0.7410609687777666,0.7254143202770791
SISE,TUPRS,0.7721368459349034,0.7019023455748497
SISE,HEKTS,0.9612589704016831,0.5379905959111482
LOGO,DOHOL,0.9577502981950241,0.5413571831536712
AGESA,ANHYT,0.911274237244157,0.5847896322675399
ODAS,ZOREN,0.8629760279777536,0.6276361875678698
ZOREN,AKSEN,0.8715929670862081,0.62016284986293
YKBNK,AKBNK,0.4631224524523254,0.8927587970172718
YKBNK,ISCTR,0.5551938270274787,0.845879907215291
YKBNK,VAKBN,0.6841898315727528,0.7659421371862241
PETKM,VESTL,0.7794144715632709,0.6962565407588736
PETKM,AKSEN,0.7953014671158614,0.6837477882016793
PETKM,CEMTS,0.8127038118558382,0.6697562570974952
PETKM,ALARK,0.8351226926238654,0.6512850441323323
PETKM,BERA,0.8675834991271305,0.6236494360211622
PETKM,DOAS,0.8851782870012667,0.6082297001107516
PETKM,GUBRF,0.9772120352748853,0.5225283190569581
VESTL,VESBE,0.6788753472237026,0.7695641314659486
VESTL,TKNSA,0.8142607757937695,0.6684896945018644
VESTL,ECILC,0.83297539873098,0.6530759925544825
SAHOL,KCHOL,0.5781062650410282,0.8328965731601562
SAHOL,AKBNK,0.6999314372915939,0.7550479915454618
SAHOL,DOHOL,0.7672413559066475,0.7056703508932645
SAHOL,TCELL,0.7848398106623812,0.6920132357997189
SAHOL,ISGYO,0.8173219376020127,0.6659924251572459
SAHOL,ENJSA,0.8265791649918713,0.6583834420006704
VESBE,EGEEN,0.9060097519623203,0.5895731646745874
VESBE,BRYAT,0.9999697683383549,0.5000302312046684
SKBNK,ISGYO,0.859821092972204,0.6303538440400422
INDES,ENJSA,0.8928271812080582,0.6014298122480366
SOKM,MGROS,0.8035327188589271,0.6771675848615902
TAVHL,THYAO,0.6683821654483227,0.7766326404553054
TCELL,TTKOM,0.6852097490562501,0.7652437998991354
TCELL,OTKAR,0.902036501004421,0.5931650754278506
VAKBN,HALKB,0.4756193530615788,0.8868931154966426
TTKOM,ASELS,0.7819560958927458,0.6942723320480875
TUPRS,AYGAZ,0.7806277158808982,0.6953101845992858
KRDMD,BUCIM,0.8088552187246113,0.6728766175709806
MGROS,ASUZU,0.8957554527175788,0.5988110844633627
ISGYO,ANHYT,0.9182462166391212,0.57841194281397
BRSAN,BRYAT,0.8167394959013855,0.6664682979173753
BUCIM,CIMSA,0.6989277201482611,0.755750021004177
ECILC,AKFGY,0.8458511934528312,0.6422678792672105
AKBNK,GARAN,0.4254392079597618,0.9095007401652853
