ticker,entropy_rate_bits
AEFES,0.9951528792846918
TURSG,0.9953253208057763
MAVI,0.995555198876666
FROTO,0.9993514605315207
OYAKC,0.9987178580203023
EREGL,0.9975959688435112
PGSUS,0.9982757295831892
SASA,0.9998774340170525
CCOLA,0.9893479745998154
BTCIM,0.9943564187564976
BIMAS,0.9954714610795286
TKFEN,0.9981427163078586
PAPIL,0.9950812547880862
AGHOL,0.994387462048758
AKSA,0.998123332921309
DGATE,0.9979726708950862
SISE,0.9969816291350245
LOGO,0.9969224737722027
AGESA,0.9975545128288313
MPARK,0.9915402915934578
ODAS,0.995760378565736
ZOREN,0.9984227109303511
YKBNK,0.9960564655733367
PETKM,0.9949622952785663
VESTL,0.9999356484590569
SAHOL,0.9977539438175436
VESBE,0.9934717999049658
SKBNK,0.987515537932489
INDES,0.9947658385007184
SOKM,0.9977421972292778
TAVHL,0.9951087371393645
TCELL,0.997533108587437
THYAO,0.9968166809946534
VAKBN,0.9973006762272066
KCHOL,0.9955208343919912
ULKER,0.9986388725332748
TKNSA,0.999518703253559
TOASO,0.9953275866511412
TTKOM,0.9957355514855947
TTRAK,0.998206058649383
TUPRS,0.9993026643115355
KRDMD,0.9988995435304099
MGROS,0.9967048868320486
ISGYO,0.9883711579888307
EGEEN,0.9988009834911435
ARCLK,0.9976347379219853
AYGAZ,0.9963957794177912
BERA,0.9987053959820145
BRISA,0.9996771023150731
BRSAN,0.9999694692838964
BRYAT,0.9995775615965129
BUCIM,0.9934023363396003
CEMTS,0.9988095702385922
CIMSA,0.9975228641905654
DOAS,0.9977207626774299
ANHYT,0.9984879456683413
DOHOL,0.9900724746735711
ASUZU,0.9970542871423339
ECILC,0.9931804498601056
EKGYO,0.990557696326078
AKSEN,0.9980709059527284
AKBNK,0.9979324447507902
ISCTR,0.9955887211119869
AKFGY,0.9929609079069274
HEKTS,0.9998431912378611
HALKB,0.9986926027490499
ENJSA,0.9947843722197085
GUBRF,0.9993405763662278
GARAN,0.998284541871433
ALARK,0.9973098393847386
ENKAI,0.9929295113067249
ASELS,0.9926636591768434
OTKAR,0.9970359454545212
