epoch,train_loss,val_loss,val_acc,val_macro_f1,pair
0,0.3470452061583919,0.20914478970805245,0.6812206572769953,0.6468561056670005,_universal_
1,0.1875997709651147,0.17546939195041925,0.6762910798122066,0.6550358561621406,_universal_
2,0.17553796484585732,0.16238731327750874,0.7309859154929578,0.6912927704863606,_universal_
3,0.16795245048499877,0.16411561088662752,0.7204225352112676,0.6940305786478592,_universal_
4,0.15683766367935364,0.15667048009908255,0.718075117370892,0.695274079732315,_universal_
5,0.15530148182184467,0.1630069870064516,0.6370892018779343,0.639481571184045,_universal_
6,0.14755819728297573,0.1707935764056416,0.7389671361502348,0.6815301584503785,_universal_
7,0.1540442029795339,0.17014630990968624,0.7136150234741784,0.6801686430279892,_universal_
8,0.1511812666731496,0.14849779598869628,0.7699530516431925,0.7146787724712395,_universal_
9,0.14960247715634684,0.1643280499697851,0.75,0.7104156712852365,_universal_
10,0.148294565562279,0.14898291736701286,0.7199530516431925,0.6998699210176298,_universal_
11,0.14240625890031938,0.1704597101385045,0.7704225352112676,0.7045141848004018,_universal_
12,0.1413043141845734,0.1761488356780558,0.6892018779342723,0.6799550214829576,_universal_
13,0.14007290721901,0.16019970124036492,0.739906103286385,0.7080447815646815,_universal_
