source,target,partial_correlation,abs_partial_corr
CCOLA,EGEEN,0.013098,0.013098
KRDMD,AKSEN,0.013082,0.013082
ULKER,AYGAZ,0.012956,0.012956
EKGYO,ASELS,0.012932,0.012932
CCOLA,ISGYO,0.012932,0.012932
ZOREN,ARCLK,0.012887,0.012887
OYAKC,TKNSA,0.012868,0.012868
BRYAT,CIMSA,0.012838,0.012838
AGHOL,THYAO,0.012814,0.012814
ZOREN,TTRAK,0.0128,0.0128
VESTL,INDES,0.012705,0.012705
SAHOL,TAVHL,0.0127,0.0127
CIMSA,ASELS,0.012679,0.012679
TKFEN,TCELL,0.012664,0.012664
OYAKC,DOHOL,0.012625,0.012625
ARCLK,BERA,0.012538,0.012538
AEFES,MPARK,0.012501,0.012501
VESTL,BRISA,0.01246,0.01246
BTCIM,GUBRF,0.012444,0.012444
EGEEN,AYGAZ,0.012431,0.012431
SKBNK,BUCIM,0.01241,0.01241
TTKOM,OTKAR,0.012385,0.012385
EGEEN,AKFGY,0.012324,0.012324
AEFES,SISE,0.012324,0.012324
MGROS,ECILC,0.012305,0.012305
ARCLK,AYGAZ,0.012253,0.012253
TKFEN,KRDMD,0.012216,0.012216
KRDMD,DOAS,0.012182,0.012182
TKFEN,VESTL,0.012068,0.012068
CCOLA,DGATE,0.012058,0.012058
TOASO,BUCIM,0.012024,0.012024
SISE,HEKTS,0.011954,0.011954
DOHOL,OTKAR,0.011936,0.011936
SASA,CEMTS,0.011846,0.011846
TTKOM,ISCTR,0.01169,0.01169
ISGYO,OTKAR,0.011686,0.011686
ZOREN,AYGAZ,0.011657,0.011657
MGROS,EKGYO,0.011629,0.011629
AGHOL,BRISA,0.011492,0.011492
INDES,TTRAK,0.01132,0.01132
AKSA,TOASO,0.011315,0.011315
ARCLK,ALARK,0.011292,0.011292
TOASO,EGEEN,0.011287,0.011287
TTKOM,HALKB,0.01128,0.01128
BRSAN,ECILC,0.011264,0.011264
ZOREN,VESBE,0.011263,0.011263
MAVI,ISGYO,0.011182,0.011182
LOGO,ZOREN,0.011175,0.011175
BRYAT,BUCIM,0.011038,0.011038
TAVHL,ARCLK,0.011006,0.011006
AEFES,YKBNK,0.011002,0.011002
TAVHL,ASUZU,0.010989,0.010989
AYGAZ,ENJSA,0.010981,0.010981
ENJSA,GUBRF,0.010942,0.010942
VESTL,MGROS,0.010937,0.010937
EKGYO,OTKAR,0.010925,0.010925
PETKM,ENJSA,0.010916,0.010916
SKBNK,BRYAT,0.010913,0.010913
TURSG,PAPIL,0.010884,0.010884
ODAS,VESBE,0.010841,0.010841
LOGO,TTRAK,0.01084,0.01084
TTRAK,AYGAZ,0.010812,0.010812
BRISA,AKSEN,0.010782,0.010782
FROTO,LOGO,0.01077,0.01077
ULKER,CIMSA,0.010652,0.010652
KRDMD,BRSAN,0.010565,0.010565
ZOREN,EKGYO,0.010532,0.010532
BRSAN,ENJSA,0.010496,0.010496
TCELL,EKGYO,0.010477,0.010477
KCHOL,BRYAT,0.010468,0.010468
SASA,ENKAI,0.010466,0.010466
SISE,TTKOM,0.010442,0.010442
AGESA,TKNSA,0.010382,0.010382
THYAO,DOHOL,0.010377,0.010377
KCHOL,TTKOM,0.010358,0.010358
BTCIM,CIMSA,0.010327,0.010327
TAVHL,BRYAT,0.010321,0.010321
PGSUS,SISE,0.01027,0.01027
THYAO,ASUZU,0.010267,0.010267
MPARK,DOAS,0.010235,0.010235
EREGL,SAHOL,0.010149,0.010149
DGATE,GUBRF,0.010141,0.010141
PAPIL,INDES,0.010036,0.010036
DGATE,DOAS,0.010016,0.010016
