source,target,partial_correlation,abs_partial_corr
TKFEN,ASELS,0.048221,0.048221
SISE,SAHOL,0.047882,0.047882
ODAS,ASUZU,0.047797,0.047797
AGHOL,ULKER,0.047578,0.047578
BERA,ASUZU,0.047552,0.047552
SASA,TOASO,0.046949,0.046949
SAHOL,ENJSA,0.046846,0.046846
MAVI,AGHOL,0.04669,0.04669
INDES,ECILC,0.046648,0.046648
EKGYO,ENJSA,0.046502,0.046502
VESTL,ULKER,0.046397,0.046397
AKSEN,ALARK,0.046303,0.046303
ODAS,PETKM,0.046264,0.046264
VESTL,ENJSA,0.046244,0.046244
AEFES,TAVHL,0.046045,0.046045
TUPRS,KRDMD,0.045918,0.045918
TKFEN,ULKER,0.045642,0.045642
BRSAN,BUCIM,0.045197,0.045197
TTKOM,EKGYO,0.04507,0.04507
PAPIL,LOGO,0.044803,0.044803
TURSG,SKBNK,0.044757,0.044757
KRDMD,BUCIM,0.044463,0.044463
EREGL,PETKM,0.044273,0.044273
BRISA,DOAS,0.044212,0.044212
SISE,KCHOL,0.044078,0.044078
TUPRS,ASELS,0.043967,0.043967
INDES,ISGYO,0.043901,0.043901
ASUZU,AKFGY,0.043891,0.043891
AKSA,KRDMD,0.043846,0.043846
DGATE,AKFGY,0.043618,0.043618
TKFEN,TAVHL,0.04342,0.04342
KRDMD,ARCLK,0.04314,0.04314
CEMTS,AKFGY,0.043116,0.043116
ULKER,EGEEN,0.042751,0.042751
YKBNK,HALKB,0.042666,0.042666
BRISA,BUCIM,0.042376,0.042376
TTKOM,MGROS,0.042278,0.042278
SASA,ZOREN,0.042167,0.042167
TKNSA,BERA,0.042008,0.042008
BRSAN,CEMTS,0.041913,0.041913
ZOREN,CEMTS,0.04189,0.04189
ODAS,CIMSA,0.041725,0.041725
ODAS,HEKTS,0.041656,0.041656
ISGYO,ALARK,0.041536,0.041536
SASA,SISE,0.041376,0.041376
SISE,ENKAI,0.04133,0.04133
TURSG,BERA,0.041259,0.041259
BRISA,OTKAR,0.041087,0.041087
ODAS,ALARK,0.040816,0.040816
ZOREN,BRYAT,0.040574,0.040574
SAHOL,THYAO,0.040551,0.040551
FROTO,DOAS,0.040231,0.040231
CIMSA,EKGYO,0.040152,0.040152
PAPIL,OTKAR,0.03997,0.03997
VESTL,THYAO,0.039963,0.039963
DOHOL,ENJSA,0.039963,0.039963
PETKM,EKGYO,0.03984,0.03984
INDES,OTKAR,0.039784,0.039784
AGHOL,SKBNK,0.039751,0.039751
KCHOL,AKBNK,0.039571,0.039571
BERA,AKFGY,0.039535,0.039535
ULKER,DOHOL,0.039372,0.039372
PETKM,ALARK,0.039338,0.039338
AYGAZ,DOHOL,0.039176,0.039176
DGATE,TKNSA,0.039017,0.039017
SASA,AKFGY,0.038934,0.038934
BRISA,CIMSA,0.038593,0.038593
VESTL,SOKM,0.038548,0.038548
ANHYT,DOHOL,0.038527,0.038527
SISE,ASELS,0.03846,0.03846
TCELL,KCHOL,0.038302,0.038302
SAHOL,EKGYO,0.038134,0.038134
KRDMD,ALARK,0.037885,0.037885
ODAS,BUCIM,0.03782,0.03782
VESBE,DOAS,0.037792,0.037792
DGATE,ANHYT,0.037787,0.037787
PGSUS,KCHOL,0.037762,0.037762
KRDMD,BRISA,0.037553,0.037553
KCHOL,TTRAK,0.037314,0.037314
TKNSA,ECILC,0.036952,0.036952
ECILC,EKGYO,0.036849,0.036849
ODAS,AYGAZ,0.036711,0.036711
BERA,CIMSA,0.036504,0.036504
TKFEN,DOHOL,0.036446,0.036446
SASA,BTCIM,0.036423,0.036423
THYAO,KCHOL,0.036342,0.036342
TKNSA,DOAS,0.036254,0.036254
CCOLA,TAVHL,0.036168,0.036168
AGHOL,BERA,0.036149,0.036149
DGATE,LOGO,0.035945,0.035945
SAHOL,ARCLK,0.035887,0.035887
AEFES,AKBNK,0.035859,0.035859
CEMTS,AKSEN,0.035853,0.035853
VAKBN,EKGYO,0.035765,0.035765
ZOREN,ULKER,0.035731,0.035731
BIMAS,SAHOL,0.035519,0.035519
BRYAT,OTKAR,0.035249,0.035249
ZOREN,VESTL,0.034981,0.034981
DOAS,ALARK,0.034955,0.034955
PAPIL,DOAS,0.034949,0.034949
TKNSA,BRISA,0.034914,0.034914
ODAS,TTRAK,0.034777,0.034777
PAPIL,TKNSA,0.034727,0.034727
TOASO,HEKTS,0.034616,0.034616
AGHOL,DOHOL,0.034561,0.034561
TCELL,DOHOL,0.034526,0.034526
SASA,AKSA,0.034347,0.034347
SOKM,EKGYO,0.034334,0.034334
KRDMD,HALKB,0.034252,0.034252
SOKM,ECILC,0.034172,0.034172
ODAS,ENJSA,0.034154,0.034154
TKNSA,GUBRF,0.034129,0.034129
TCELL,ASELS,0.034053,0.034053
BIMAS,KCHOL,0.033972,0.033972
MAVI,TTKOM,0.033785,0.033785
AKSA,PETKM,0.033265,0.033265
SISE,TAVHL,0.033133,0.033133
ODAS,BRYAT,0.033071,0.033071
AGHOL,SAHOL,0.033066,0.033066
TURSG,ODAS,0.033048,0.033048
CEMTS,ASUZU,0.033018,0.033018
AEFES,PETKM,0.032921,0.032921
VESTL,KRDMD,0.032783,0.032783
SAHOL,TCELL,0.032737,0.032737
AGHOL,ALARK,0.03262,0.03262
TAVHL,KCHOL,0.032612,0.032612
ZOREN,INDES,0.032456,0.032456
LOGO,ODAS,0.032435,0.032435
BRSAN,OTKAR,0.032421,0.032421
VESTL,EGEEN,0.032392,0.032392
SKBNK,AKBNK,0.032354,0.032354
HALKB,ASELS,0.032147,0.032147
OYAKC,KRDMD,0.032089,0.032089
DGATE,MPARK,0.032042,0.032042
TURSG,CIMSA,0.032025,0.032025
PAPIL,ODAS,0.032016,0.032016
BTCIM,BUCIM,0.032006,0.032006
MAVI,LOGO,0.031899,0.031899
TOASO,OTKAR,0.031885,0.031885
ISGYO,ANHYT,0.031856,0.031856
INDES,BUCIM,0.031787,0.031787
PGSUS,BRISA,0.03162,0.03162
MAVI,ULKER,0.031612,0.031612
LOGO,TKNSA,0.031572,0.031572
ZOREN,TKNSA,0.031213,0.031213
AGHOL,TTKOM,0.031129,0.031129
TKNSA,BUCIM,0.0311,0.0311
SISE,CIMSA,0.031071,0.031071
VESBE,AKSEN,0.031032,0.031032
AKSEN,ENJSA,0.031018,0.031018
INDES,ASUZU,0.030993,0.030993
BTCIM,AKFGY,0.030876,0.030876
TKFEN,CEMTS,0.030848,0.030848
