source,target,te_forward,te_backward,net_te,dominant_direction
AKBNK,PETKM,0.0,0.007398,-0.007398,PETKM->AKBNK
AEFES,TTKOM,0.007396,0.0,0.007396,AEFES->TTKOM
ULKER,THYAO,0.0,0.007395,-0.007395,THYAO->ULKER
ANHYT,ENJSA,0.0,0.007394,-0.007394,ENJSA->ANHYT
THYAO,SISE,0.00739,0.0,0.00739,THYAO->SISE
AGESA,ECILC,0.0,0.007386,-0.007386,ECILC->AGESA
YKBNK,VAKBN,0.0,0.007385,-0.007385,VAKBN->YKBNK
CEMTS,THYAO,0.0,0.007382,-0.007382,THYAO->CEMTS
LOGO,OTKAR,0.0,0.007369,-0.007369,OTKAR->LOGO
ASELS,TTRAK,0.0,0.00736,-0.00736,TTRAK->ASELS
ULKER,MGROS,0.0,0.007358,-0.007358,MGROS->ULKER
TCELL,TOASO,0.007352,0.0,0.007352,TCELL->TOASO
PAPIL,ENJSA,0.007348,0.0,0.007348,PAPIL->ENJSA
BUCIM,PETKM,0.00733,0.0,0.00733,BUCIM->PETKM
ECILC,BIMAS,0.0,0.007329,-0.007329,BIMAS->ECILC
BERA,ODAS,0.007322,0.0,0.007322,BERA->ODAS
ARCLK,TUPRS,0.0,0.00732,-0.00732,TUPRS->ARCLK
ENKAI,BUCIM,0.007319,0.0,0.007319,ENKAI->BUCIM
ALARK,BRISA,0.007316,0.0,0.007316,ALARK->BRISA
BRYAT,INDES,0.0,0.007315,-0.007315,INDES->BRYAT
SISE,SKBNK,0.0,0.007305,-0.007305,SKBNK->SISE
ENKAI,BRSAN,0.0,0.007301,-0.007301,BRSAN->ENKAI
TCELL,PETKM,0.0,0.0073,-0.0073,PETKM->TCELL
CIMSA,VESTL,0.007299,0.0,0.007299,CIMSA->VESTL
AGESA,MGROS,0.007297,0.0,0.007297,AGESA->MGROS
BRISA,HEKTS,0.0,0.007287,-0.007287,HEKTS->BRISA
BRYAT,THYAO,0.0,0.007286,-0.007286,THYAO->BRYAT
MPARK,PETKM,0.0,0.007283,-0.007283,PETKM->MPARK
AKBNK,VESBE,0.0,0.007281,-0.007281,VESBE->AKBNK
ECILC,BERA,0.0,0.007279,-0.007279,BERA->ECILC
CIMSA,MGROS,0.007279,0.0,0.007279,CIMSA->MGROS
DOAS,ARCLK,0.0,0.007277,-0.007277,ARCLK->DOAS
AKSA,FROTO,0.007273,0.0,0.007273,AKSA->FROTO
PAPIL,ULKER,0.007271,0.0,0.007271,PAPIL->ULKER
AEFES,YKBNK,0.00727,0.0,0.00727,AEFES->YKBNK
KRDMD,ISCTR,0.0,0.007269,-0.007269,ISCTR->KRDMD
MAVI,TKNSA,0.007267,0.0,0.007267,MAVI->TKNSA
AYGAZ,TOASO,0.0,0.007265,-0.007265,TOASO->AYGAZ
AGESA,PETKM,0.0,0.007255,-0.007255,PETKM->AGESA
ASUZU,BRISA,0.007249,0.0,0.007249,ASUZU->BRISA
VAKBN,SKBNK,0.007246,0.0,0.007246,VAKBN->SKBNK
BUCIM,AYGAZ,0.00724,0.0,0.00724,BUCIM->AYGAZ
ASELS,THYAO,0.0,0.007236,-0.007236,THYAO->ASELS
FROTO,ALARK,0.007235,0.0,0.007235,FROTO->ALARK
OYAKC,BIMAS,0.0,0.007225,-0.007225,BIMAS->OYAKC
GUBRF,TCELL,0.0,0.007225,-0.007225,TCELL->GUBRF
LOGO,ISGYO,0.0,0.007221,-0.007221,ISGYO->LOGO
SASA,DOAS,0.0,0.007209,-0.007209,DOAS->SASA
ECILC,TUPRS,0.0,0.007208,-0.007208,TUPRS->ECILC
AGHOL,ODAS,0.007206,0.0,0.007206,AGHOL->ODAS
PAPIL,TKNSA,0.0,0.007198,-0.007198,TKNSA->PAPIL
PGSUS,HALKB,0.007196,0.0,0.007196,PGSUS->HALKB
ULKER,EKGYO,0.007191,0.0,0.007191,ULKER->EKGYO
EKGYO,TCELL,0.0,0.007183,-0.007183,TCELL->EKGYO
CIMSA,AYGAZ,0.007176,0.0,0.007176,CIMSA->AYGAZ
PAPIL,DOAS,0.0,0.007172,-0.007172,DOAS->PAPIL
TUPRS,OTKAR,0.0,0.007166,-0.007166,OTKAR->TUPRS
AKBNK,SKBNK,0.007162,0.0,0.007162,AKBNK->SKBNK
PAPIL,PGSUS,0.0,0.00716,-0.00716,PGSUS->PAPIL
AKSEN,SAHOL,0.0,0.007151,-0.007151,SAHOL->AKSEN
AKBNK,SAHOL,0.00715,0.0,0.00715,AKBNK->SAHOL
BERA,BUCIM,0.007124,0.0,0.007124,BERA->BUCIM
DOHOL,ISGYO,0.007113,0.0,0.007113,DOHOL->ISGYO
VESTL,TOASO,0.0,0.00711,-0.00711,TOASO->VESTL
MPARK,SKBNK,0.0,0.007105,-0.007105,SKBNK->MPARK
ANHYT,HEKTS,0.0,0.007103,-0.007103,HEKTS->ANHYT
KCHOL,TTRAK,0.007097,0.0,0.007097,KCHOL->TTRAK
ASUZU,SOKM,0.0,0.007095,-0.007095,SOKM->ASUZU
GARAN,HALKB,0.007085,0.0,0.007085,GARAN->HALKB
SOKM,TAVHL,0.007084,0.0,0.007084,SOKM->TAVHL
AGESA,HEKTS,0.007068,0.0,0.007068,AGESA->HEKTS
AKBNK,ULKER,0.007067,0.0,0.007067,AKBNK->ULKER
AEFES,ULKER,0.007057,0.0,0.007057,AEFES->ULKER
VAKBN,KCHOL,0.0,0.007053,-0.007053,KCHOL->VAKBN
CCOLA,MPARK,0.00705,0.0,0.00705,CCOLA->MPARK
BRYAT,ALARK,0.0,0.007048,-0.007048,ALARK->BRYAT
MGROS,OTKAR,0.0,0.007042,-0.007042,OTKAR->MGROS
BRSAN,BERA,0.0,0.00704,-0.00704,BERA->BRSAN
