ticker,permutation_entropy_norm,n_observations
AEFES,0.9987481378612024,1543
TURSG,0.9982918554923668,1543
MAVI,0.9982639765784823,1543
FROTO,0.9981615478356571,1543
OYAKC,0.9974104090367324,1543
EREGL,0.9983168450525067,1543
PGSUS,0.9970291310158172,1543
SASA,0.9976844219714771,1543
CCOLA,0.9950554659881964,1542
BTCIM,0.9979410805216242,1543
BIMAS,0.9987153052609067,1543
TKFEN,0.998157407246235,1543
PAPIL,0.9969992902892905,1543
AGHOL,0.9958492162953799,1543
AKSA,0.9964242606204223,1543
DGATE,0.9984004352817358,1541
SISE,0.997695938154764,1541
LOGO,0.9979993141316342,1541
AGESA,0.9978463419189699,1541
MPARK,0.9979413696895748,1541
ODAS,0.9981802807457434,1541
ZOREN,0.9933547635827734,1541
YKBNK,0.9965774626122887,1541
PETKM,0.9982172918257404,1541
VESTL,0.998231826204368,1541
SAHOL,0.9982849941777442,1541
VESBE,0.9948377265127888,1541
SKBNK,0.9973949374397458,1541
INDES,0.9979618996445414,1541
SOKM,0.9988818420886689,1541
TAVHL,0.9974389037132673,1541
TCELL,0.998148509396679,1541
THYAO,0.9984512878656117,1541
VAKBN,0.9978653971715995,1541
KCHOL,0.9974916437035769,1541
ULKER,0.9981348728474565,1541
TKNSA,0.9974817397411567,1541
TOASO,0.9966719398823598,1541
TTKOM,0.9987717964439076,1541
TTRAK,0.998661881460114,1541
TUPRS,0.9970485277259924,1541
KRDMD,0.9973818672951626,1541
MGROS,0.9986619693785675,1541
ISGYO,0.9983750233676321,1541
EGEEN,0.9987593349867945,1541
ARCLK,0.9981338223160144,1541
AYGAZ,0.9987722327185705,1540
BERA,0.9989941327390319,1541
BRISA,0.9960349160081069,1541
BRSAN,0.9993254887634047,1541
BRYAT,0.9971551838764035,1541
BUCIM,0.9980411273043256,1541
CEMTS,0.9989275940250747,1541
CIMSA,0.9978062870431268,1541
DOAS,0.9974474851250027,1541
ANHYT,0.9987881037956596,1541
DOHOL,0.9971985969984125,1541
ASUZU,0.9965158230055339,1541
ECILC,0.9987534617897547,1541
EKGYO,0.9988657692156657,1541
AKSEN,0.9978166909483712,1541
AKBNK,0.9981580352043068,1541
ISCTR,0.9975449333187602,1541
AKFGY,0.9963409190175241,1541
HEKTS,0.9978728305994902,1539
HALKB,0.9980813076190386,1541
ENJSA,0.9991023244741426,1541
GUBRF,0.9981170974950873,1541
GARAN,0.9981634600299996,1541
ALARK,0.9982752131826961,1541
ENKAI,0.9991408020918678,1541
ASELS,0.997127247231967,1541
OTKAR,0.9972520546807361,1538
