ticker_a,ticker_b,direction,source,target,te,cte,delta,p_value,n_obs
BRSAN,BRYAT,b_to_a,BRYAT,BRSAN,0.009498778942594877,0.016318119741666415,0.006819340799071538,0.07792207792207792,1536
KCHOL,AKBNK,a_to_b,KCHOL,AKBNK,0.008993758918058425,0.01634638511675046,0.007352626198692036,0.08191808191808192,1536
TUPRS,AYGAZ,a_to_b,TUPRS,AYGAZ,0.00800314365892385,0.016741697941940803,0.008738554283016953,0.06393606393606394,1535
