ticker,sign_entropy_bits,acf_returns_lag1,acf_abs_returns_lag1,acf_abs_returns_lag5,acf_abs_returns_lag22,hurst_exponent
AEFES,0.9951528792846918,0.06454651456511308,0.1003854796795374,0.044607211632614684,0.020682690205338552,0.6320890294331072
TURSG,0.9953253208057763,0.030617141217382637,0.1861271223372166,0.06236281818617273,0.056082699137317046,0.6358864196196493
MAVI,0.995555198876666,0.08223975864256497,0.12569246814639087,0.06446920949914371,0.0261251640945222,0.6277027959103857
FROTO,0.9993514605315207,0.025032978640844333,0.26534561354097935,0.08270593658948155,0.09190688645657893,0.6069883874291658
OYAKC,0.9987178580203023,0.07861316233205529,0.2520252363014794,0.16662597959052924,0.12615571299398232,0.591949480078319
EREGL,0.9975959688435112,-0.010220233743629131,0.1528135520454199,0.09472679722532643,0.04191083053305478,0.5781703487001756
PGSUS,0.9982757295831892,0.0910273966625228,0.2925552779555652,0.14317533083501424,0.12020121321399904,0.5845784802879292
SASA,0.9998774340170525,0.12907542089785107,0.31369946077938704,0.1617691986408212,0.05197778367476246,0.6155516156060941
CCOLA,0.9893479745998154,0.040921686343493,0.14567071348225089,0.021512435714527486,-0.02409800630526929,0.5276706437513182
BTCIM,0.9943564187564976,0.1366842190222517,0.3107378078139133,0.16540451507405238,0.010419350287885315,0.6449045721126145
BIMAS,0.9954714610795286,0.03462341670886611,0.10802342289937207,0.03808879438460708,-0.008091237122645947,0.5365438338100387
TKFEN,0.9981427163078586,0.04975394780892429,0.20381906633543442,0.13356982263749292,0.05408672988811887,0.6496361246117136
PAPIL,0.9950812547880862,0.12834817085723585,0.32103712751361546,0.17792143237819577,0.04966378208046225,0.6036960274965745
AGHOL,0.994387462048758,0.03532083474828457,0.10975448775905595,0.0973680958413632,0.02400285243886086,0.6621261199219542
AKSA,0.998123332921309,-0.032975902296802,0.1604730509876709,0.0490340106432774,0.024663906688944394,0.5802045290098793
DGATE,0.9979726708950862,0.010011528531818527,0.18851475367153508,0.16812363932286628,0.08857191938562091,0.5207281922642107
SISE,0.9969816291350245,-0.03857876859197527,0.18752013150810085,0.1221382502253879,0.02845426220518215,0.5706562676331711
LOGO,0.9969224737722027,0.021726934043971885,0.16701414811139884,0.05829797933868835,0.04236912345833389,0.5370588854537843
AGESA,0.9975545128288313,0.051318862931417526,0.15922632022716438,0.06813356065570188,0.04481389095582187,0.6057966212854807
MPARK,0.9915402915934578,0.04553382055694154,0.2195712716823138,0.10129830347116017,0.002084164959846835,0.5872728145549528
ODAS,0.995760378565736,0.022645803401955118,0.2054827772698592,0.12131883633117939,0.08995834406720396,0.6150400749260426
ZOREN,0.9984227109303511,0.12353702794441924,0.29040943900523325,0.17080123193177346,0.052082112795649296,0.63073554043766
YKBNK,0.9960564655733367,0.07403015956841968,0.1574367564675589,0.07729871130350698,0.05881056403784099,0.6011674643001091
PETKM,0.9949622952785663,0.013283420182460221,0.1584485553444918,0.06901077717016296,0.013765679289579403,0.5571695816988205
VESTL,0.9999356484590569,0.029369050315539432,0.20804168240295667,0.1215536723568482,0.06301679893306518,0.6212302810586805
SAHOL,0.9977539438175436,0.040428064294122226,0.11546227741185659,0.0701100831280794,-0.004561616780425023,0.5901501187074578
VESBE,0.9934717999049658,0.05371714868126087,0.1473798484525805,0.09541797165579914,0.02196458247105852,0.6272633824619379
SKBNK,0.987515537932489,0.13366235391949607,0.35088730533994333,0.11735955044300872,0.04603285555884509,0.6279896922778442
INDES,0.9947658385007184,0.06995916635872312,0.18708157753956378,0.15678875394162517,0.10413144696018117,0.5992832717483064
SOKM,0.9977421972292778,0.07333000450300978,0.1562208443241757,0.09934528199087965,0.07346064842530725,0.5744580193129456
TAVHL,0.9951087371393645,0.07039999599529154,0.2369938327180485,0.09095090241578017,0.08172575469895556,0.580958692025779
TCELL,0.997533108587437,-0.02757662486865785,0.18059474713138346,0.12989172962172746,0.1024813487726211,0.5489075154789174
THYAO,0.9968166809946534,0.00829478881471439,0.19561281889719914,0.087795714725098,0.07094487226598181,0.5812111536808217
VAKBN,0.9973006762272066,0.10803276293091679,0.29303203586459436,0.17721558476569885,0.13221934610338384,0.6132400735843012
KCHOL,0.9955208343919912,0.05207074309053017,0.11949940850255628,0.0687993464181599,0.046272888753314576,0.5831486954895992
ULKER,0.9986388725332748,0.030693927530544264,0.23251792063680193,0.18639171575859165,0.12675833126298391,0.587492939999267
TKNSA,0.999518703253559,0.12251359041260212,0.3662359216634736,0.23478381056841768,0.16754909975571944,0.6078247181377269
TOASO,0.9953275866511412,0.04934886096782842,0.16340829057484954,0.08060498756267101,0.027228999526110347,0.607570373885655
TTKOM,0.9957355514855947,-0.02113567807103,0.15300254039140382,0.10054070502871508,0.06850203670277213,0.5622143167093261
TTRAK,0.998206058649383,0.03037106550911836,0.1653693409326875,0.08605255063138288,0.08243841337448006,0.6688063915737162
TUPRS,0.9993026643115355,0.06318754296819035,0.1996222279864721,0.0820464545165307,0.06832663446742758,0.574517475444915
KRDMD,0.9988995435304099,0.034098914356233655,0.22869751092505483,0.1458566614286806,0.015207854639529074,0.6129453285882166
MGROS,0.9967048868320486,-0.004344260245215495,0.13145992284638375,0.09302765569719951,0.056518084563158134,0.6453100409973218
ISGYO,0.9883711579888307,0.13475927124642592,0.34426596682142097,0.19253266500358865,0.1097054001934639,0.6485896557244789
EGEEN,0.9988009834911435,0.02133595276485803,0.217616753048599,0.157994257155922,0.05901709188535659,0.6209225225273025
ARCLK,0.9976347379219853,-0.0102985023603285,0.21671628715244762,0.1544071005892727,0.0992717261883123,0.6045720394314363
AYGAZ,0.9963957794177912,-0.00967800223995812,0.21588580758691195,0.09662894997187761,0.07786842314275572,0.6040829315050037
BERA,0.9987053959820145,0.062093446127437085,0.2427218442071225,0.11489854070104158,0.02638985315466574,0.6169693688403848
BRISA,0.9996771023150731,-0.008484983493472873,0.1325583454605137,0.08679885157523094,0.01967286938115102,0.5848811850048107
BRSAN,0.9999694692838964,0.04630724095620791,0.3344843578798102,0.18114304550792287,0.06219940065338517,0.5968926643199026
BRYAT,0.9995775615965129,0.03699014960209026,0.3087447580862421,0.1609344795445797,0.03408404243578827,0.6117555625938028
BUCIM,0.9934023363396003,0.03786332854263925,0.2942408897732051,0.21954578720382809,0.06170682738975325,0.6258372070583346
CEMTS,0.9988095702385922,0.02500498433528426,0.21611460626164247,0.09563615483025757,0.06421363977356163,0.6077755435007349
CIMSA,0.9975228641905654,0.03639028259159474,0.24086871585406985,0.09334515004832789,0.065376608658424,0.5707890485706898
DOAS,0.9977207626774299,0.09399388550048371,0.2342614763306959,0.11453575539158196,0.04424624863956351,0.5958772479423187
ANHYT,0.9984879456683413,0.04322581787625571,0.163688787598878,0.10951707257517428,0.05258726683711447,0.6281047219489552
DOHOL,0.9900724746735711,-0.032349181816441926,0.16529430339218648,0.1425472146127067,0.03745058709281459,0.596859544754732
ASUZU,0.9970542871423339,0.08695439762350216,0.307099959112056,0.16853783057020302,0.0985097362862997,0.5893197765407641
ECILC,0.9931804498601056,0.038573679784902754,0.2542640010049582,0.09489326453388847,0.09485624899250687,0.5475876108230643
EKGYO,0.990557696326078,0.0198041616033217,0.15667955458621968,0.06938080673596386,0.047529983752933894,0.6289549946099323
AKSEN,0.9980709059527284,-0.02833970102712574,0.14424243680125487,0.09518567097001884,0.04843007112425305,0.5485562304841954
AKBNK,0.9979324447507902,0.0982553905979346,0.1743821470183929,0.06929381680693195,0.0690936876219446,0.596134585787675
ISCTR,0.9955887211119869,0.11169568434765066,0.20820039025759185,0.10731314575588591,0.07120456823026869,0.6284542655312425
