epoch,train_loss,val_loss,val_acc,val_macro_f1,pair
0,0.3266267611134437,0.18593871238086146,0.7373239436619718,0.6703063171585057,_universal_
1,0.1812280361690829,0.17045523398359058,0.7349765258215962,0.6829072110465649,_universal_
2,0.16629264003807498,0.1550118322943298,0.75,0.6744910858507929,_universal_
3,0.16078189510491586,0.1440970574396317,0.7316901408450704,0.7120102393520176,_universal_
4,0.14961010607019548,0.14045134463780362,0.7615023474178404,0.7255503813123821,_universal_
5,0.14358606790342637,0.13826070184439002,0.7570422535211268,0.7271453148595226,_universal_
6,0.14487452954053878,0.14044484489120787,0.7323943661971831,0.7117579676847418,_universal_
7,0.1421873949708477,0.1394247913584463,0.7619718309859155,0.7246437675951439,_universal_
8,0.1372380622932988,0.1408224361323415,0.7429577464788732,0.720055739613806,_universal_
9,0.14107039412183145,0.1413614518275843,0.7842723004694836,0.7298884109791445,_universal_
10,0.13488530406067448,0.15479218232239916,0.7434272300469483,0.7193731627349389,_universal_
