source,target,partial_correlation,abs_partial_corr
BTCIM,TKNSA,0.049133,0.049133
AGHOL,ULKER,0.04895,0.04895
ODAS,HEKTS,0.0485,0.0485
CEMTS,DGATE,0.048165,0.048165
TKFEN,ASELS,0.048082,0.048082
AKFGY,ODAS,0.048074,0.048074
SISE,SAHOL,0.047974,0.047974
AGHOL,MAVI,0.047876,0.047876
ENJSA,SAHOL,0.047844,0.047844
ECILC,INDES,0.047262,0.047262
ENJSA,EKGYO,0.046676,0.046676
ASUZU,ALARK,0.046537,0.046537
VESTL,ENJSA,0.046459,0.046459
AEFES,CCOLA,0.046303,0.046303
ASELS,TUPRS,0.046144,0.046144
BUCIM,KRDMD,0.046014,0.046014
PAPIL,LOGO,0.045679,0.045679
TKFEN,ULKER,0.045635,0.045635
BRSAN,BUCIM,0.045628,0.045628
TURSG,SKBNK,0.045618,0.045618
DOAS,BRISA,0.045098,0.045098
ULKER,VESTL,0.045023,0.045023
EKGYO,TTKOM,0.0449,0.0449
ECILC,HEKTS,0.044881,0.044881
KCHOL,SISE,0.044838,0.044838
EREGL,PETKM,0.044837,0.044837
AKSA,KRDMD,0.044166,0.044166
ASUZU,ODAS,0.043951,0.043951
AKFGY,CEMTS,0.043757,0.043757
ISGYO,INDES,0.043616,0.043616
ARCLK,KRDMD,0.043606,0.043606
SASA,SISE,0.043434,0.043434
AKFGY,DGATE,0.043126,0.043126
ALARK,ODAS,0.043059,0.043059
ODAS,PETKM,0.043047,0.043047
EGEEN,ULKER,0.042952,0.042952
BRISA,BUCIM,0.04285,0.04285
AKFGY,ASUZU,0.042733,0.042733
ENKAI,SISE,0.042727,0.042727
ALARK,ISGYO,0.042655,0.042655
MGROS,TTKOM,0.042616,0.042616
AYGAZ,KRDMD,0.042538,0.042538
TKFEN,TAVHL,0.042507,0.042507
CEMTS,ZOREN,0.042482,0.042482
BRSAN,CEMTS,0.042207,0.042207
CIMSA,ODAS,0.042206,0.042206
FROTO,DOAS,0.041209,0.041209
SASA,AKFGY,0.041187,0.041187
BRISA,OTKAR,0.040886,0.040886
PAPIL,OTKAR,0.040582,0.040582
BRYAT,ZOREN,0.040378,0.040378
VESTL,THYAO,0.04029,0.04029
TURSG,BERA,0.040271,0.040271
DOHOL,ENJSA,0.040237,0.040237
THYAO,SAHOL,0.040215,0.040215
YKBNK,HALKB,0.040197,0.040197
TKNSA,DGATE,0.039831,0.039831
AGHOL,SKBNK,0.039796,0.039796
ANHYT,DGATE,0.039756,0.039756
AKFGY,BERA,0.039735,0.039735
EKGYO,PETKM,0.039666,0.039666
KCHOL,TCELL,0.039575,0.039575
VESTL,SOKM,0.039566,0.039566
CIMSA,EKGYO,0.039475,0.039475
AKBNK,KCHOL,0.039473,0.039473
CIMSA,BRISA,0.03939,0.03939
BERA,TKNSA,0.039373,0.039373
DOHOL,AYGAZ,0.039323,0.039323
DOHOL,ULKER,0.039169,0.039169
INDES,OTKAR,0.039165,0.039165
DOAS,VESBE,0.039041,0.039041
ASELS,SISE,0.039029,0.039029
BRISA,KRDMD,0.038812,0.038812
KCHOL,TTRAK,0.038651,0.038651
EKGYO,SAHOL,0.03819,0.03819
ANHYT,DOHOL,0.038069,0.038069
CIMSA,BERA,0.038066,0.038066
AKSEN,HEKTS,0.037957,0.037957
KCHOL,THYAO,0.037569,0.037569
ECILC,TKNSA,0.037541,0.037541
SASA,GUBRF,0.037432,0.037432
BUCIM,ODAS,0.037195,0.037195
GUBRF,TKNSA,0.037112,0.037112
AKSA,SASA,0.037111,0.037111
BIMAS,SAHOL,0.037104,0.037104
DOAS,TKNSA,0.037025,0.037025
AEFES,AKBNK,0.036761,0.036761
ECILC,EKGYO,0.036736,0.036736
AGHOL,BERA,0.036698,0.036698
