source,target,partial_correlation,abs_partial_corr
AEFES,SISE,0.012906,0.012906
SASA,CEMTS,0.012809,0.012809
BUCIM,SKBNK,0.012739,0.012739
CIMSA,ASELS,0.012686,0.012686
HEKTS,SISE,0.012682,0.012682
TAVHL,SAHOL,0.012598,0.012598
BRYAT,CEMTS,0.01256,0.01256
BRYAT,CIMSA,0.012531,0.012531
ENJSA,GUBRF,0.012528,0.012528
AGHOL,THYAO,0.012492,0.012492
VESTL,MGROS,0.012434,0.012434
TKFEN,KRDMD,0.012394,0.012394
CCOLA,DGATE,0.012387,0.012387
AKFGY,EGEEN,0.012361,0.012361
ENJSA,PETKM,0.012255,0.012255
ASUZU,ENKAI,0.012225,0.012225
ASUZU,BRSAN,0.01216,0.01216
BTCIM,CIMSA,0.012009,0.012009
ASUZU,TAVHL,0.012004,0.012004
MAVI,ISGYO,0.011964,0.011964
TTKOM,OTKAR,0.011948,0.011948
EGEEN,AYGAZ,0.011891,0.011891
ISCTR,TTKOM,0.011747,0.011747
EKGYO,MGROS,0.011633,0.011633
VESTL,INDES,0.011551,0.011551
INDES,TTRAK,0.011531,0.011531
AGHOL,BRISA,0.011497,0.011497
VESBE,ZOREN,0.011446,0.011446
ISGYO,OTKAR,0.011416,0.011416
DOHOL,OTKAR,0.011404,0.011404
LOGO,TTRAK,0.011376,0.011376
OYAKC,DOHOL,0.011315,0.011315
LOGO,ZOREN,0.011301,0.011301
EGEEN,TOASO,0.011268,0.011268
CIMSA,ULKER,0.011268,0.011268
EKGYO,ZOREN,0.011208,0.011208
FROTO,LOGO,0.011186,0.011186
SASA,DOAS,0.011173,0.011173
ALARK,ARCLK,0.011141,0.011141
BRISA,VESTL,0.011125,0.011125
ASUZU,SKBNK,0.011104,0.011104
ANHYT,ECILC,0.011043,0.011043
EREGL,ASELS,0.011016,0.011016
SASA,ENKAI,0.011013,0.011013
HALKB,TTKOM,0.010897,0.010897
BRSAN,KRDMD,0.010815,0.010815
DOHOL,THYAO,0.010805,0.010805
BRSAN,ECILC,0.010801,0.010801
AKSA,TOASO,0.010777,0.010777
ENKAI,CIMSA,0.010745,0.010745
AKSEN,BRISA,0.01074,0.01074
KCHOL,TTKOM,0.010718,0.010718
BRSAN,ENJSA,0.0107,0.0107
EKGYO,TCELL,0.010683,0.010683
ULKER,TAVHL,0.010669,0.010669
DOAS,MPARK,0.010638,0.010638
EKGYO,OTKAR,0.010621,0.010621
VESBE,ODAS,0.010591,0.010591
ALARK,BERA,0.010562,0.010562
EREGL,SAHOL,0.010507,0.010507
AKSA,ASUZU,0.010498,0.010498
BERA,ARCLK,0.010426,0.010426
PAPIL,TURSG,0.010417,0.010417
ALARK,GUBRF,0.010414,0.010414
BRYAT,TAVHL,0.010401,0.010401
SISE,TTKOM,0.010389,0.010389
AGESA,TKNSA,0.010336,0.010336
BRSAN,ULKER,0.010295,0.010295
LOGO,TTKOM,0.010263,0.010263
PGSUS,SISE,0.010253,0.010253
DOAS,DGATE,0.01016,0.01016
ARCLK,TAVHL,0.01014,0.01014
ECILC,AYGAZ,0.010123,0.010123
ASUZU,LOGO,0.010094,0.010094
TUPRS,ZOREN,0.010018,0.010018
TTKOM,ZOREN,0.010009,0.010009
