ticker,entropy_rate_bits
AEFES,0.9995495413551937
TURSG,0.9996376088536812
MAVI,0.9982165206715193
FROTO,0.997893003295527
OYAKC,0.997300194340715
EREGL,0.9973538752901631
PGSUS,0.9955438979284412
SASA,0.9958983902347348
CCOLA,0.9985868432637292
BTCIM,0.9995052391765434
BIMAS,0.9986878910621881
TKFEN,0.99958316046273
PAPIL,0.9914007724268333
AGHOL,0.999519858556882
AKSA,0.9987878937126737
DGATE,0.9991233281060348
SISE,0.9936966717642196
LOGO,0.9989764377219451
AGESA,0.9995418964690125
MPARK,0.9992780000520578
ODAS,0.997860118970975
ZOREN,0.9970456581826397
YKBNK,0.9991721822224252
PETKM,0.9993304219317554
VESTL,0.9978410495369868
SAHOL,0.9994918984391667
VESBE,0.9963895251630694
SKBNK,0.9976976568066506
INDES,0.9994786738195435
SOKM,0.9998555795709928
TAVHL,0.9978177217911499
TCELL,0.9971815776264453
THYAO,0.9986212348185711
VAKBN,0.995102667052241
KCHOL,0.9986105741939116
ULKER,0.9982488862521037
TKNSA,0.9940318202163866
TOASO,0.9999179386203486
TTKOM,0.999785571374467
TTRAK,0.9977894141890833
TUPRS,0.9981829205451801
KRDMD,0.9989893358737013
MGROS,0.9987429073282389
ISGYO,0.9990767136910953
EGEEN,0.9959238431714258
ARCLK,0.998138889270034
AYGAZ,0.9992284353123478
BERA,0.9976836809876731
BRISA,0.9953458778799253
BRSAN,0.9969035845714082
BRYAT,0.9958200605713641
BUCIM,0.9975657180133065
CEMTS,0.9984350857220597
CIMSA,0.999643028211481
DOAS,0.9982488862521037
ANHYT,0.9982257364663895
DOHOL,0.9995334733420103
ASUZU,0.9945076440089066
ECILC,0.9989428118202194
EKGYO,0.9992195380341755
AKSEN,0.999338408237017
AKBNK,0.9982113457050544
ISCTR,0.9986244211589881
AKFGY,0.9987488289310179
HEKTS,0.9955106141508445
HALKB,0.9984514052625597
ENJSA,0.9992001314537386
GUBRF,0.9995967550515643
GARAN,0.9974240023749331
ALARK,0.9988090370189232
ENKAI,0.993786259768199
ASELS,0.9944461584038509
OTKAR,0.9996070974681486
