ticker_a,ticker_b,nonlinear_excess
CCOLA,AGHOL,0.11358128505636385
CCOLA,TTKOM,0.1028782450810974
CCOLA,ULKER,0.09943934611753215
AEFES,CCOLA,0.09764137672204427
CCOLA,SAHOL,0.09341565977086838
CCOLA,MGROS,0.09084711666535622
CCOLA,ISCTR,0.08775140094738472
CCOLA,KCHOL,0.08638320140291328
CCOLA,TAVHL,0.08604411311584367
MAVI,CCOLA,0.08403299976143944
CCOLA,DOHOL,0.08370779829250163
CCOLA,ZOREN,0.08337466212335336
CCOLA,SISE,0.0824903390580726
FROTO,CCOLA,0.08157635883846198
