source,target,te_forward,te_backward,net_te,dominant_direction
O,CDW,0.015991,0.0,0.015991,O->CDW
IRM,CVNA,0.01597,0.0,0.01597,IRM->CVNA
IRM,LULU,0.015522,0.0,0.015522,IRM->LULU
CMI,DECK,0.015246,0.0,0.015246,CMI->DECK
UNP,APTV,0.0,0.015112,-0.015112,APTV->UNP
PSKY,AXON,0.0,0.015058,-0.015058,AXON->PSKY
HLT,CVS,0.014808,0.0,0.014808,HLT->CVS
WFC,SPG,0.014678,0.0,0.014678,WFC->SPG
PEP,HD,0.014641,0.0,0.014641,PEP->HD
OMC,AFL,0.0,0.014626,-0.014626,AFL->OMC
ON,GLW,0.0,0.014509,-0.014509,GLW->ON
BKR,BBY,0.0145,0.0,0.0145,BKR->BBY
MSFT,CRWD,0.014442,0.0,0.014442,MSFT->CRWD
MET,SCHW,0.0,0.014403,-0.014403,SCHW->MET
GNRC,DDOG,0.0,0.014401,-0.014401,DDOG->GNRC
UHS,IBM,0.014345,0.0,0.014345,UHS->IBM
IQV,WDAY,0.01433,0.0,0.01433,IQV->WDAY
WFC,AIZ,0.0,0.014313,-0.014313,AIZ->WFC
MSFT,UDR,0.0,0.014246,-0.014246,UDR->MSFT
RCL,AES,0.0,0.014225,-0.014225,AES->RCL
LRCX,CME,0.014121,0.0,0.014121,LRCX->CME
BEN,HAL,0.0,0.014099,-0.014099,HAL->BEN
SPG,EXPD,0.0,0.01403,-0.01403,EXPD->SPG
HII,HD,0.014018,0.0,0.014018,HII->HD
KKR,CDNS,0.014016,0.0,0.014016,KKR->CDNS
MLM,ETN,0.013983,0.0,0.013983,MLM->ETN
TKO,IBM,0.0,0.013981,-0.013981,IBM->TKO
MCO,VRT,0.013975,0.0,0.013975,MCO->VRT
POOL,HII,0.0,0.013925,-0.013925,HII->POOL
CRM,GRMN,0.01387,0.0,0.01387,CRM->GRMN
PHM,CFG,0.0,0.013819,-0.013819,CFG->PHM
A,EQIX,0.01381,0.0,0.01381,A->EQIX
WFC,CRH,0.0,0.013806,-0.013806,CRH->WFC
AMD,IBM,0.0138,0.0,0.0138,AMD->IBM
BKR,ETN,0.013793,0.0,0.013793,BKR->ETN
KMI,TJX,0.01378,0.0,0.01378,KMI->TJX
PSA,EBAY,0.013776,0.0,0.013776,PSA->EBAY
PSX,RTX,0.0,0.013757,-0.013757,RTX->PSX
SPG,BAC,0.0,0.013752,-0.013752,BAC->SPG
BLDR,CL,0.013733,0.0,0.013733,BLDR->CL
PSX,FITB,0.0,0.013733,-0.013733,FITB->PSX
STX,AXON,0.013707,0.0,0.013707,STX->AXON
TPR,EL,0.0,0.013675,-0.013675,EL->TPR
NI,EPAM,0.0,0.013628,-0.013628,EPAM->NI
IQV,GL,0.013604,0.0,0.013604,IQV->GL
MAA,UHS,0.013552,0.0,0.013552,MAA->UHS
SBAC,HCA,0.0,0.013429,-0.013429,HCA->SBAC
TMUS,CTAS,0.0,0.01338,-0.01338,CTAS->TMUS
ITW,CARR,0.0,0.013358,-0.013358,CARR->ITW
MSFT,MAA,0.0,0.013353,-0.013353,MAA->MSFT
NFLX,AMD,0.013326,0.0,0.013326,NFLX->AMD
NTRS,XYL,0.013323,0.0,0.013323,NTRS->XYL
INCY,BBY,0.013322,0.0,0.013322,INCY->BBY
NDSN,GDDY,0.013315,0.0,0.013315,NDSN->GDDY
VRSK,ULTA,0.013308,0.0,0.013308,VRSK->ULTA
XYL,RJF,0.0,0.013307,-0.013307,RJF->XYL
ZBH,PSA,0.013301,0.0,0.013301,ZBH->PSA
IP,UDR,0.013295,0.0,0.013295,IP->UDR
MS,LLY,0.013293,0.0,0.013293,MS->LLY
MAS,APTV,0.0,0.013288,-0.013288,APTV->MAS
TRV,FRT,0.013268,0.0,0.013268,TRV->FRT
BKR,ALGN,0.013262,0.0,0.013262,BKR->ALGN
PNW,EPAM,0.0,0.013235,-0.013235,EPAM->PNW
AXON,AON,0.0,0.013228,-0.013228,AON->AXON
PPG,D,0.013223,0.0,0.013223,PPG->D
RSG,ED,0.0,0.013213,-0.013213,ED->RSG
CVX,GLW,0.013205,0.0,0.013205,CVX->GLW
CRL,AWK,0.013199,0.0,0.013199,CRL->AWK
BIIB,BEN,0.0,0.013198,-0.013198,BEN->BIIB
VRT,CRL,0.0,0.013196,-0.013196,CRL->VRT
MSFT,CPT,0.0,0.013194,-0.013194,CPT->MSFT
APTV,HON,0.0,0.013192,-0.013192,HON->APTV
PNR,HBAN,0.013126,0.0,0.013126,PNR->HBAN
SRE,HWM,0.0,0.013114,-0.013114,HWM->SRE
VMC,WRB,0.0,0.013112,-0.013112,WRB->VMC
MA,TJX,0.0,0.013105,-0.013105,TJX->MA
NKE,CRH,0.013104,0.0,0.013104,NKE->CRH
ADP,HWM,0.013087,0.0,0.013087,ADP->HWM
MCHP,WTW,0.0,0.013083,-0.013083,WTW->MCHP
UPS,AON,0.0,0.013065,-0.013065,AON->UPS
SBUX,APTV,0.01302,0.0,0.01302,SBUX->APTV
LIN,AIG,0.0,0.012996,-0.012996,AIG->LIN
SPG,ALB,0.0,0.01295,-0.01295,ALB->SPG
INTC,FRT,0.012948,0.0,0.012948,INTC->FRT
MA,PWR,0.0,0.012934,-0.012934,PWR->MA
MOS,PSX,0.0,0.012929,-0.012929,PSX->MOS
NTAP,CVX,0.012926,0.0,0.012926,NTAP->CVX
MTD,DLR,0.0,0.012908,-0.012908,DLR->MTD
TTD,CMCSA,0.0,0.012874,-0.012874,CMCSA->TTD
LRCX,WELL,0.01286,0.0,0.01286,LRCX->WELL
MLM,GLW,0.012843,0.0,0.012843,MLM->GLW
ISRG,CTAS,0.012831,0.0,0.012831,ISRG->CTAS
TTD,FIS,0.012817,0.0,0.012817,TTD->FIS
FDX,DRI,0.0,0.012814,-0.012814,DRI->FDX
ORLY,AON,0.0,0.012756,-0.012756,AON->ORLY
KMB,MMM,0.0,0.012746,-0.012746,MMM->KMB
NKE,LDOS,0.0,0.01273,-0.01273,LDOS->NKE
MSFT,ESS,0.0,0.012715,-0.012715,ESS->MSFT
ROL,EME,0.012706,0.0,0.012706,ROL->EME
INTC,CPT,0.012701,0.0,0.012701,INTC->CPT
SYF,ZTS,0.012694,0.0,0.012694,SYF->ZTS
VMC,CPT,0.0,0.012689,-0.012689,CPT->VMC
SBAC,EG,0.0,0.012683,-0.012683,EG->SBAC
RJF,CTAS,0.012682,0.0,0.012682,RJF->CTAS
TXT,BRO,0.012681,0.0,0.012681,TXT->BRO
EXPE,CMI,0.012644,0.0,0.012644,EXPE->CMI
TFC,HCA,0.01264,0.0,0.01264,TFC->HCA
A,ICE,0.012638,0.0,0.012638,A->ICE
FE,EPAM,0.0,0.012632,-0.012632,EPAM->FE
JCI,MLM,0.0,0.012625,-0.012625,MLM->JCI
MGM,DVN,0.012621,0.0,0.012621,MGM->DVN
NSC,GE,0.0,0.012616,-0.012616,GE->NSC
L,VMC,0.012614,0.0,0.012614,L->VMC
MSFT,AVB,0.0,0.012606,-0.012606,AVB->MSFT
KO,CVX,0.012604,0.0,0.012604,KO->CVX
WMB,IT,0.0,0.012597,-0.012597,IT->WMB
MLM,PSKY,0.012593,0.0,0.012593,MLM->PSKY
KO,EIX,0.0,0.012577,-0.012577,EIX->KO
WFC,PSA,0.012568,0.0,0.012568,WFC->PSA
MSCI,VRT,0.012559,0.0,0.012559,MSCI->VRT
CLX,CRWD,0.0,0.012547,-0.012547,CRWD->CLX
SPGI,CVX,0.012539,0.0,0.012539,SPGI->CVX
PFG,DE,0.0,0.012524,-0.012524,DE->PFG
OMC,SHW,0.0,0.012511,-0.012511,SHW->OMC
RL,XOM,0.012498,0.0,0.012498,RL->XOM
SJM,DRI,0.012497,0.0,0.012497,SJM->DRI
MSI,GL,0.012494,0.0,0.012494,MSI->GL
ROP,FANG,0.012485,0.0,0.012485,ROP->FANG
TTD,CNC,0.0,0.01248,-0.01248,CNC->TTD
VRSK,GOOGL,0.0,0.012476,-0.012476,GOOGL->VRSK
APO,EG,0.0,0.01247,-0.01247,EG->APO
MNST,CVX,0.012454,0.0,0.012454,MNST->CVX
ATO,DLR,0.012452,0.0,0.012452,ATO->DLR
ROP,GL,0.012438,0.0,0.012438,ROP->GL
AVB,AWK,0.012437,0.0,0.012437,AVB->AWK
NUE,GOOGL,0.0,0.012431,-0.012431,GOOGL->NUE
TROW,CHD,0.0,0.012416,-0.012416,CHD->TROW
WST,TMUS,0.0,0.012404,-0.012404,TMUS->WST
