ticker_a,ticker_b,pair_id
CMS,AEP,CMS_AEP
MLM,VMC,MLM_VMC
CMS,LNT,CMS_LNT
AVB,EQR,AVB_EQR
WEC,AEE,WEC_AEE
FITB,HBAN,FITB_HBAN
NI,CMS,NI_CMS
PNC,FITB,PNC_FITB
MCO,SPGI,MCO_SPGI
WEC,CMS,WEC_CMS
KEY,USB,KEY_USB
MAA,UDR,MAA_UDR
KEY,TFC,KEY_TFC
SYF,COF,SYF_COF
ESS,EQR,ESS_EQR
CMS,ETR,CMS_ETR
LEN,DHI,LEN_DHI
PNC,BAC,PNC_BAC
NVR,PHM,NVR_PHM
NXPI,AMAT,NXPI_AMAT
