date,ticker,return_value
2020-03-09,APA,-0.7735922863708979
2024-04-11,GL,-0.7580096912425421
2020-03-09,TRGP,-0.7530543372980228
2020-03-09,OXY,-0.7342569763902049
2022-02-28,EPAM,-0.6102101770955565
2020-03-09,FANG,-0.5914176316979101
2025-10-29,FISV,-0.5806000665408697
2022-12-07,CVNA,-0.5607341889587898
2025-08-26,SATS,0.5320840056598934
2024-07-26,DXCM,-0.5218582753273348
2025-07-02,CNC,-0.5170231391664184
2022-11-04,CVNA,-0.4935540120794807
2025-08-08,TTD,-0.4878455690749266
2025-02-13,WST,-0.48156326711727976
2020-03-09,OKE,-0.4740963734445026
2020-03-09,HAL,-0.47230131316138657
2020-03-09,DVN,-0.46835929449484776
2022-02-23,VRT,-0.45791534323334726
2025-07-31,ALGN,-0.4561200839001472
2023-06-08,CVNA,0.44481795500864557
2025-09-10,SNPS,-0.4437484197299204
2020-03-12,NCLH,-0.44309031017814304
2022-04-20,NFLX,-0.4325784894950873
2020-03-18,TRGP,-0.42154367638167967
2020-03-16,MGM,-0.4096840460272719
2020-04-01,CCL,-0.40318979699905483
2025-02-13,TTD,-0.40016140431378805
2025-06-16,SATS,0.3995091796013853
2024-10-30,SMCI,-0.3956397443283444
2020-03-16,APA,-0.3907047828485703
2024-08-29,DG,-0.3878166763655107
2020-03-09,EOG,-0.38576901419333726
2020-03-12,RCL,-0.38240639689958006
2023-01-12,CVNA,0.3784363807919296
2024-07-25,EW,-0.3760011725243325
2023-11-06,SATS,-0.37516459715190337
2020-03-12,CCL,-0.37356558646875004
2020-03-18,APTV,-0.36460176631563634
2020-11-04,BIIB,0.36446207886597054
2020-03-18,UAL,-0.36082911427003667
2020-03-24,CVNA,0.35798691687824585
2025-01-27,VRT,-0.3549580087938154
2023-08-16,COHR,-0.3547622152232741
2020-03-24,NCLH,0.35201050675762086
2020-03-16,TPR,-0.34625503938360297
2023-07-19,CVNA,0.33790693863178983
2020-03-16,VICI,-0.3373815916073425
2022-08-05,CVNA,0.3369831857953239
2020-03-16,VTR,-0.33677255038645804
2020-03-16,XYZ,-0.3363337628606599
2022-09-28,BIIB,0.3354026910611896
2020-03-18,OKE,-0.33517001890557446
2024-02-21,PANW,-0.33464919676060806
2023-05-04,PSKY,-0.33341879129410534
2025-01-27,VST,-0.3322844920211616
2020-11-09,CCL,0.3313942832334734
2020-11-09,BIIB,-0.33082086436778174
2025-04-10,CRL,-0.330307425742653
2022-11-03,FIS,-0.3291753555048989
2020-03-12,VTR,-0.3270853636807895
2021-06-07,BIIB,0.3245541143047614
2020-03-19,UBER,0.32395935180460916
2025-08-05,IT,-0.32234073151605025
2020-03-18,MOS,-0.3216907854227234
2021-03-26,WBD,-0.3208374860566539
2020-03-09,SLB,-0.32049984695934836
2023-03-13,KEY,-0.3192521354735445
2021-03-26,PSKY,-0.31896256833244535
2020-03-13,EQT,0.3171427208496866
2022-10-28,DVA,-0.3159503941231457
2020-03-12,MPC,-0.3148330253694301
2024-05-09,EPAM,-0.31463381721681166
2020-03-09,NCLH,-0.3133469082105608
2025-08-13,PSKY,0.31288587515727384
2020-03-18,ON,-0.31251903468473435
2020-03-18,CCL,-0.3123746171999485
2020-03-16,SPG,-0.31078300052508423
2020-03-11,NCLH,-0.3103767001458674
2020-03-17,TRGP,-0.309970028425999
2022-08-10,TTD,0.3091023580340902
2025-09-10,ORCL,0.30710832515262876
2024-01-19,SMCI,0.3070161719306068
2022-02-03,META,-0.30639078879332154
2020-03-18,CVNA,-0.3058214581624422
2024-10-31,HII,-0.30327940973387846
2024-08-02,INTC,-0.30189614287692607
2020-03-16,SYF,-0.3014524677272661
2020-03-18,DAL,-0.30100276604828186
2021-05-10,TTD,-0.3008154112085249
2020-03-19,TRGP,0.3008088392704408
